2021-01-16 11:58:19 startup archives install
2021-01-16 11:58:19 install base-passwd:amd64 <none> 3.5.46
2021-01-16 11:58:19 status half-installed base-passwd:amd64 3.5.46
2021-01-16 11:58:19 status unpacked base-passwd:amd64 3.5.46
2021-01-16 11:58:19 configure base-passwd:amd64 3.5.46 3.5.46
2021-01-16 11:58:19 status half-configured base-passwd:amd64 3.5.46
2021-01-16 11:58:19 status installed base-passwd:amd64 3.5.46
2021-01-16 11:58:19 startup archives install
2021-01-16 11:58:19 install base-files:amd64 <none> 10.3+deb10u7
2021-01-16 11:58:19 status half-installed base-files:amd64 10.3+deb10u7
2021-01-16 11:58:19 status unpacked base-files:amd64 10.3+deb10u7
2021-01-16 11:58:19 configure base-files:amd64 10.3+deb10u7 10.3+deb10u7
2021-01-16 11:58:19 status half-configured base-files:amd64 10.3+deb10u7
2021-01-16 11:58:20 status installed base-files:amd64 10.3+deb10u7
2021-01-16 11:58:20 startup archives install
2021-01-16 11:58:20 upgrade dpkg 1.19.7 1.19.7
2021-01-16 11:58:20 status half-configured dpkg 1.19.7
2021-01-16 11:58:20 status unpacked dpkg 1.19.7
2021-01-16 11:58:20 status half-installed dpkg 1.19.7
2021-01-16 11:58:20 status unpacked dpkg:amd64 1.19.7
2021-01-16 11:58:20 configure dpkg:amd64 1.19.7 1.19.7
2021-01-16 11:58:20 status half-configured dpkg:amd64 1.19.7
2021-01-16 11:58:20 status installed dpkg:amd64 1.19.7
2021-01-16 11:58:20 startup archives install
2021-01-16 11:58:20 install libc6:amd64 <none> 2.28-10
2021-01-16 11:58:20 status half-installed libc6:amd64 2.28-10
2021-01-16 11:58:21 status unpacked libc6:amd64 2.28-10
2021-01-16 11:58:21 configure libc6:amd64 2.28-10 2.28-10
2021-01-16 11:58:21 status half-configured libc6:amd64 2.28-10
2021-01-16 11:58:21 status installed libc6:amd64 2.28-10
2021-01-16 11:58:21 startup archives install
2021-01-16 11:58:21 install perl-base:amd64 <none> 5.28.1-6+deb10u1
2021-01-16 11:58:21 status half-installed perl-base:amd64 5.28.1-6+deb10u1
2021-01-16 11:58:22 status unpacked perl-base:amd64 5.28.1-6+deb10u1
2021-01-16 11:58:22 configure perl-base:amd64 5.28.1-6+deb10u1 5.28.1-6+deb10u1
2021-01-16 11:58:22 status half-configured perl-base:amd64 5.28.1-6+deb10u1
2021-01-16 11:58:22 status installed perl-base:amd64 5.28.1-6+deb10u1
2021-01-16 11:58:22 startup archives install
2021-01-16 11:58:22 install mawk:amd64 <none> 1.3.3-17+b3
2021-01-16 11:58:22 status half-installed mawk:amd64 1.3.3-17+b3
2021-01-16 11:58:22 status unpacked mawk:amd64 1.3.3-17+b3
2021-01-16 11:58:22 configure mawk:amd64 1.3.3-17+b3 1.3.3-17+b3
2021-01-16 11:58:22 status half-configured mawk:amd64 1.3.3-17+b3
2021-01-16 11:58:22 status installed mawk:amd64 1.3.3-17+b3
2021-01-16 11:58:22 startup archives install
2021-01-16 11:58:22 install debconf:all <none> 1.5.71
2021-01-16 11:58:22 status half-installed debconf:all 1.5.71
2021-01-16 11:58:22 status unpacked debconf:all 1.5.71
2021-01-16 11:58:22 configure debconf:all 1.5.71 1.5.71
2021-01-16 11:58:22 status half-configured debconf:all 1.5.71
2021-01-16 11:58:22 status installed debconf:all 1.5.71
2021-01-16 11:58:22 startup archives unpack
2021-01-16 11:58:22 install libacl1:amd64 <none> 2.2.53-4
